,Accuracy,Recall,F1,AUC
[P1] SVC,0.8081,0.0909,0.0571,0.6036
[P1] KNN,0.7674,0.3636,0.1667,0.6652
[P1] RandomForest,0.936,0.0909,0.1538,0.6968
[P1] XGBoost,0.8663,0.0909,0.08,0.6612
[P3] Hybrid_SVC+KNN,0.6919,0.6364,0.209,0.7188
[P3] Hybrid_RF+SVC,0.7384,0.3636,0.1509,0.6838
[P3] Hybrid_XGB+KNN,0.7733,0.6364,0.2642,0.7561
[P4] Tuned_SVC,0.7384,0.3636,0.1509,0.7149
[P4] Tuned_KNN,0.7384,0.5455,0.2105,0.6906
[P4] Tuned_RF,0.8256,0.0909,0.0625,0.7177
[P4] Tuned_XGBoost,0.7849,0.3636,0.1778,0.6618
[P4] Tuned_Hybrid_SVC+KNN,0.75,0.3636,0.1569,0.7228
[P4] Tuned_Hybrid_RF+SVC,0.7965,0.1818,0.1026,0.7239
[P4] Tuned_Hybrid_XGB+KNN,0.7849,0.4545,0.2128,0.6838
