,Accuracy,Recall,F1,AUC,PR-AUC
[P1] SVC,0.9651,0.8182,0.75,0.9176,0.6585
[P1] KNN,0.9302,0.6364,0.5385,0.8411,0.4271
[P1] RandomForest,0.9651,0.8182,0.75,0.9828,0.7224
[P1] XGBoost,0.9593,0.7273,0.6957,0.9616,0.6174
[P3] Hybrid_SVC+KNN,0.9477,0.5455,0.5714,0.9249,0.5552
[P3] Hybrid_RF+SVC,0.9477,0.5455,0.5714,0.9492,0.6319
[P3] Hybrid_XGB+KNN,0.9651,0.7273,0.7273,0.952,0.5986
[P3] Hybrid_RF+XGB,0.9651,0.7273,0.7273,0.9644,0.647
[P3] Hybrid_ALL4,0.9651,0.7273,0.7273,0.9548,0.6171
[P4] Tuned_SVC,0.9593,0.8182,0.72,0.8577,0.5371
[P4] Tuned_KNN,0.9535,0.5455,0.6,0.8007,0.4609
[P4] Tuned_RF,0.9593,0.8182,0.72,0.9684,0.6705
[P4] Tuned_XGB,0.9419,0.8182,0.6429,0.8701,0.7302
[P4] Tuned_Hybrid_SVC+KNN,0.9593,0.8182,0.72,0.8588,0.57
[P4] Tuned_Hybrid_RF+SVC,0.9593,0.8182,0.72,0.9689,0.6758
[P4] Tuned_Hybrid_XGB+KNN,0.9477,0.8182,0.6667,0.8645,0.6299
[P4] Tuned_Hybrid_RF+XGB,0.9419,0.8182,0.6429,0.9599,0.6708
[P4] Tuned_Hybrid_ALL4,0.9593,0.8182,0.72,0.9593,0.6819
[P4] Tuned_Stacking_ALL4,0.9419,0.8182,0.6429,0.9593,0.7014
